FeatureID,FeatureName,Cluster 6 Average,Log2 Fold Change,P-Value
ENSG00000140285,FGF7,0.11860133299454677,2.528079848912417,5.71626106891739e-06
ENSG00000100234,TIMP3,0.4086937826163436,2.290680627337709,7.025551681709969e-06
ENSG00000133392,MYH11,0.11058772941383414,2.5560679270836557,7.247759747477432e-06
ENSG00000135333,EPHA7,0.025643531458280383,3.843029517317455,8.26967684420547e-06
ENSG00000171303,KCNK3,0.024040810742137857,3.825956003958513,8.75344423866791e-06
ENSG00000173175,ADCY5,0.025643531458280383,3.843029517317455,8.780929398028868e-06
ENSG00000187479,C11orf96,0.4760080526943296,2.2390582983316425,8.780929398028868e-06
ENSG00000164107,HAND2,0.073725153,2.7366886658614256,8.85268810706721e-06
ENSG00000183963,SMTN,0.2420108281375211,2.2511533694575783,8.859287651607597e-06
ENSG00000157985,AGAP1,0.11379317084611919,2.387071762725301,9.917016282650524e-06
ENSG00000163637,PRICKLE2,0.10257412583312153,2.442331457,1.0090198383643668e-05
ENSG00000126218,F10,0.017629928,4.645383758316692,1.0647886059097032e-05
ENSG00000073910,FRY,0.048081621484275715,2.7982996610556468,1.096589239635784e-05
ENSG00000187634,SAMD11,0.040068018,3.293734965,1.143604170199056e-05
ENSG00000124615,MOCS1,0.040068018,3.2784682086560197,1.143604170199056e-05
ENSG00000067445,TRO,0.081738757,2.517406939,1.143604170199056e-05
ENSG00000150636,CCDC102B,0.046478901,3.135911457179799,1.1785394703863484e-05
ENSG00000166148,AVPR1A,0.030451693606707953,3.8551023496180283,1.1832130303138979e-05
ENSG00000133083,DCLK1,0.035259856,3.3315960520182637,1.1832130303138979e-05
ENSG00000132329,RAMP1,0.097765964,2.4654557886891015,1.2036673469068893e-05
ENSG00000018625,ATP1A2,0.022438090025995335,4.5953430758170954,1.2699637807754102e-05
ENSG00000115252,PDE1A,0.032054414,3.2734149809297337,1.3124952417975314e-05
ENSG00000101280,ANGPT4,0.020835369,5.254799302762386,1.3124952417975314e-05
ENSG00000162804,SNED1,0.099368684,2.470527993817824,1.3299464225102733e-05
ENSG00000214402,LCNL1,0.072122432,2.7766282915949443,1.3299464225102733e-05
ENSG00000130518,IQCN,0.040068018,3.1340782993208443,1.3299464225102733e-05
ENSG00000142279,WTIP,0.081738757,2.4951769914888846,1.3588057808633917e-05
ENSG00000182263,FIGN,0.014424486445282715,5.147884098845876,1.3873055632874224e-05
ENSG00000103241,FOXF1,0.054492504,2.859314600904943,1.3873055632874224e-05
ENSG00000184232,OAF,0.13943670230439958,2.3172968705505532,1.3909500896220792e-05
ENSG00000020577,SAMD4A,0.084944198,2.510454178230583,1.5224518638793316e-05
ENSG00000253304,TMEM200B,0.046478901,2.8848496930120806,1.6058484298437905e-05
ENSG00000172935,MRGPRF,0.075327874,2.6400894586471786,1.624024904806124e-05
ENSG00000140945,CDH13,0.080136036,2.5963077666192658,1.6735229496580392e-05
ENSG00000149090,PAMR1,0.041670739,3.121411887484684,1.7204857745242353e-05
ENSG00000152217,SETBP1,0.21636729667924073,2.197799986134036,1.735050122499019e-05
ENSG00000165379,LRFN5,0.025643531458280383,3.5349072219551223,1.997571778211086e-05
ENSG00000213694,S1PR3,0.12180677442683181,2.4034433841175225,2.0279352026853794e-05
ENSG00000266714,MYO15B,0.20675097238238557,2.1801479480168298,2.2920377140254838e-05
ENSG00000106018,VIPR2,0.030451693606707953,3.4037230032754655,2.6212041121014707e-05
ENSG00000183722,LHFPL6,0.068916991,2.4935735514339834,2.62918836120517e-05
ENSG00000181234,TMEM132C,0.027246252174422905,3.858377481650889,2.8102302626139547e-05
ENSG00000111058,ACSS3,0.035259856,3.0567362107876797,2.98425341614675e-05
ENSG00000130635,COL5A1,0.9632351504016569,2.040819121242139,3.0160129711321866e-05
ENSG00000138031,ADCY3,0.14905302660125472,2.2471457302189517,3.4164515223744264e-05
